,method,comp,suff
40,ig,0.0071637630462646484,-0.0006905198097229004
41,ig,0.04297918081283569,0.006627857685089111
42,ig,0.003580331802368164,0.06342428922653198
43,ig,0.8942793784663081,-0.10358476638793945
44,ig,0.9549944549798965,-0.02231156826019287
45,ig,0.002219259738922119,0.005261480808258057
46,ig,0.0620952844619751,0.010228574275970459
47,ig,0.9162155389785767,0.009224236011505127
48,ig,0.3172939419746399,-0.001534104347229004
49,ig,6.55055046081543e-05,0.09037190675735474
50,ig,0.29764723777770996,0.015780925750732422
51,ig,0.034627676010131836,0.0010164380073547363
52,ig,0.003771364688873291,-4.953145980834961e-05
53,ig,0.002643609215738252,-0.9934383013751358
54,ig,0.6886473894119263,0.07004809379577637
55,ig,0.7707275450229645,0.020089030265808105
56,ig,0.00032895803451538086,2.008676528930664e-05
57,ig,0.00017452239990234375,0.0001894235610961914
58,ig,0.8817462250590324,0.012876391410827637
59,ig,0.0005828738212585449,0.1585199236869812
60,ig,0.008242189884185791,-4.458427429199219e-05
61,ig,0.9490540064871311,0.9848614996299148
62,ig,0.4815612733364105,0.013770461082458496
63,ig,-0.0006983280181884766,0.005255520343780518
64,ig,0.0006014108657836914,0.008570671081542969
65,ig,0.03973418474197388,-0.00011277198791503906
66,ig,0.5737412869930267,-0.00015968084335327148
67,ig,0.5344152450561523,-0.0024352669715881348
68,ig,0.00015735626220703125,-2.384185791015625e-05
69,ig,0.0035008788108825684,0.02151542901992798
70,ig,0.0007047057151794434,0.00014889240264892578
71,ig,0.029505372047424316,9.179115295410156e-06
72,ig,0.01780712604522705,0.0001672506332397461
73,ig,0.0001774430274963379,-5.960464477539062e-07
74,ig,0.06257504224777222,0.03904014825820923
75,ig,0.23663562536239624,-0.00034558773040771484
76,ig,0.0006743669509887695,0.9877062495797873
77,ig,0.6107728205097374,-0.3434690237045288
78,ig,0.008869767189025879,2.0384788513183594e-05
79,ig,0.01777970790863037,-0.0034127235412597656
80,ig,0.915205642580986,0.9724053244572133
81,ig,0.5628087818622589,0.2938160300254822
82,ig,0.025726795196533203,0.2779664397239685
83,ig,0.035466134548187256,-3.546476364135742e-05
84,ig,0.019617855548858643,0.00526738166809082
85,ig,0.9682849049568176,-0.00030732154846191406
86,ig,0.08656001091003418,-0.0040070414543151855
87,ig,0.001181483268737793,0.024371623992919922
88,ig,0.9910015766508877,0.008807837963104248
89,ig,0.399646520614624,-0.14008629322052002
90,ig,0.021142395213246346,-0.7704324945807457
91,ig,0.0003192424774169922,0.004633963108062744
92,ig,0.007194995880126953,-0.0001385211944580078
93,ig,0.004398941993713379,0.06296008825302124
94,ig,0.01698744297027588,0.0294530987739563
95,ig,0.0006527900695800781,0.00024068355560302734
96,ig,0.00026732683181762695,0.013078451156616211
97,ig,0.019441068172454834,0.004292607307434082
98,ig,0.0015491247177124023,-9.208917617797852e-05
99,ig,0.004345059394836426,0.00018650293350219727
100,ig,0.9757782127708197,-0.008469998836517334
101,ig,0.000444948673248291,5.608797073364258e-05
102,ig,0.9973889301763847,-0.0006749629974365234
